Running Standard MNIST Through CNN
**************** Batch Size = 1 ****************
Epoch 3/16 | Mini-Batch 26000 | Loss: 1.499 | Accuracy: 96.154
Epoch 3/16 | Mini-Batch 28000 | Loss: 1.495 | Accuracy: 96.182
Epoch 3/16 | Mini-Batch 30000 | Loss: 1.492 | Accuracy: 96.233
Epoch 3/16 | Mini-Batch 32000 | Loss: 1.495 | Accuracy: 96.247
Epoch 3/16 | Mini-Batch 34000 | Loss: 1.504 | Accuracy: 96.212
Epoch 3/16 | Mini-Batch 36000 | Loss: 1.501 | Accuracy: 96.194
Epoch 3/16 | Mini-Batch 38000 | Loss: 1.502 | Accuracy: 96.179
Epoch 3/16 | Mini-Batch 40000 | Loss: 1.485 | Accuracy: 96.252
Epoch 3/16 | Mini-Batch 42000 | Loss: 1.492 | Accuracy: 96.286
Epoch 3/16 | Mini-Batch 44000 | Loss: 1.488 | Accuracy: 96.332
Epoch 3/16 | Mini-Batch 46000 | Loss: 1.492 | Accuracy: 96.357
Epoch 3/16 | Mini-Batch 48000 | Loss: 1.497 | Accuracy: 96.365
Epoch 3/16 | Mini-Batch 50000 | Loss: 1.490 | Accuracy: 96.400
Epoch 3/16 | Mini-Batch 52000 | Loss: 1.497 | Accuracy: 96.400
Epoch 3/16 | Mini-Batch 54000 | Loss: 1.485 | Accuracy: 96.448
Epoch 3/16 | Mini-Batch 56000 | Loss: 1.488 | Accuracy: 96.477
Epoch 3/16 | Mini-Batch 58000 | Loss: 1.490 | Accuracy: 96.495
Epoch 3/16 | Mini-Batch 60000 | Loss: 1.493 | Accuracy: 96.503
Accuracy of the network on the 10000 test images after epoch 3: 96.950000 %
Epoch 4/16 | Mini-Batch  2000 | Loss: 1.490 | Accuracy: 97.200
Epoch 4/16 | Mini-Batch  4000 | Loss: 1.490 | Accuracy: 97.175
Epoch 4/16 | Mini-Batch  6000 | Loss: 1.492 | Accuracy: 97.033
Epoch 4/16 | Mini-Batch  8000 | Loss: 1.491 | Accuracy: 97.013
Epoch 4/16 | Mini-Batch 10000 | Loss: 1.492 | Accuracy: 96.990
Epoch 4/16 | Mini-Batch 12000 | Loss: 1.494 | Accuracy: 96.942
Epoch 4/16 | Mini-Batch 14000 | Loss: 1.503 | Accuracy: 96.771
Epoch 4/16 | Mini-Batch 16000 | Loss: 1.499 | Accuracy: 96.706
Epoch 4/16 | Mini-Batch 18000 | Loss: 1.498 | Accuracy: 96.661
Epoch 4/16 | Mini-Batch 20000 | Loss: 1.500 | Accuracy: 96.600
Epoch 4/16 | Mini-Batch 22000 | Loss: 1.496 | Accuracy: 96.591
